date,StraitTimes
10/18/2002,1242.86
10/21/2002,1239.69
10/22/2002,1236.22
10/23/2002,1245.25
10/24/2002,1240.55
10/25/2002,1251.64
10/28/2002,1256.26
10/29/2002,1231.3
10/30/2002,1238.69
10/31/2002,1242.31
11/1/2002,1208.99
11/5/2002,1219.56
11/6/2002,1230.63
11/7/2002,1210.71
11/8/2002,1210.95
11/11/2002,1191.38
11/12/2002,1192.12
11/13/2002,1181.48
11/14/2002,1177.21
11/15/2002,1200.48
11/18/2002,1184.87
11/19/2002,1180.59
11/20/2002,1170.94
11/21/2002,1186.57
11/22/2002,1208.23
11/25/2002,1207.88
11/26/2002,1190.21
11/27/2002,1182.38
11/28/2002,1193.44
11/29/2002,1181.16
12/2/2002,1184.93
12/3/2002,1174.7
12/4/2002,1158.35
12/5/2002,1158.73
12/9/2002,1142.98
12/10/2002,1160.56
12/11/2002,1164.07
12/12/2002,1171.07
12/13/2002,1157.63
12/16/2002,1152.93
12/17/2002,1139.51
12/18/2002,1130.38
12/19/2002,1146.77
12/20/2002,1131.81
12/23/2002,1129.64
12/24/2002,1130.33
12/26/2002,1124.85
12/27/2002,1133.25
12/30/2002,1124.03
12/31/2002,1132.81
1/2/2003,1130.21
1/3/2003,1132.95
1/6/2003,1125.96
1/7/2003,1116.75
1/8/2003,1129.67
1/9/2003,1131.45
1/10/2003,1143.17
1/13/2003,1178.68
1/14/2003,1193.96
1/15/2003,1181.46
1/16/2003,1173.91
1/17/2003,1160.89
1/20/2003,1156.21
1/21/2003,1159.65
1/22/2003,1161.89
1/23/2003,1156.43
1/24/2003,1151.35
3/5/2003,1067.28
3/6/2003,1048.21
3/7/2003,1030.82
3/10/2003,1018.55
3/11/2003,1022.52
3/12/2003,1040.84
3/13/2003,1039.98
3/14/2003,1058.85
3/17/2003,1042.44
3/18/2003,1080.21
3/19/2003,1088.29
3/20/2003,1111.49
3/24/2003,1102.85
3/25/2003,1113.08
3/26/2003,1123.59
3/27/2003,1112.13
3/28/2003,1116.66
3/31/2003,1074.57
4/1/2003,1085.39
4/2/2003,1102.29
4/3/2003,1103.11
4/4/2003,1113.6
4/7/2003,1133.53
4/8/2003,1115.25
4/9/2003,1093.91
4/10/2003,1096.97
4/11/2003,1104.95
4/14/2003,1090.34
4/15/2003,1098.47
4/16/2003,1098.35
4/17/2003,1090.69
6/25/2003,1276.15
6/26/2003,1268.12
6/27/2003,1287.12
6/30/2003,1257.52
7/1/2003,1263.51
7/2/2003,1281.12
7/3/2003,1286.99
7/4/2003,1290.54
7/7/2003,1316.56
7/8/2003,1317.52
7/9/2003,1320.18
7/10/2003,1319.08
7/11/2003,1345.05
7/14/2003,1371.46
7/15/2003,1380.26
7/16/2003,1386.75
7/17/2003,1379.27
7/18/2003,1374.53
7/21/2003,1367.37
7/22/2003,1345.84
7/23/2003,1352.5
7/24/2003,1348.41
7/25/2003,1356.81
7/28/2003,1377.54
7/29/2003,1374.36
7/30/2003,1373.77
7/31/2003,1355.26
8/1/2003,1359.1
8/4/2003,1342.42
8/5/2003,1313.23
8/6/2003,1314.75
8/7/2003,1336.41
8/8/2003,1336.99
8/11/2003,1352.82
8/12/2003,1361.67
8/13/2003,1390.2
8/14/2003,1401.81
8/15/2003,1398.12
8/18/2003,1423.42
8/19/2003,1418.73
8/20/2003,1416.64
8/21/2003,1437.34
8/22/2003,1441.99
8/25/2003,1429.55
8/26/2003,1402.24
8/27/2003,1399.42
8/28/2003,1403.01
8/29/2003,1406.97
9/1/2003,1417.42
9/2/2003,1407.34
9/3/2003,1411.41
9/4/2003,1412.92
9/5/2003,1419.66
9/8/2003,1426.62
9/9/2003,1386.64
11/26/2003,1469.86
11/27/2003,1478.23
11/28/2003,1496.38
12/1/2003,1518.61
12/2/2003,1511.3
12/3/2003,1520.01
12/4/2003,1511.91
12/5/2003,1513.11
12/8/2003,1502.79
12/9/2003,1500
12/10/2003,1496.46
12/11/2003,1505.88
12/12/2003,1511.82
12/15/2003,1527.64
12/16/2003,1512.84
12/17/2003,1505.03
12/18/2003,1497.15
12/19/2003,1492.76
12/22/2003,1504.03
12/23/2003,1505.07
12/24/2003,1509.06
12/26/2003,1512.55
12/29/2003,1522.07
12/30/2003,1543.25
12/31/2003,1543.54
1/2/2004,1569.25
1/5/2004,1592.4
1/6/2004,1592.7
1/7/2004,1600.09
1/8/2004,1606.82
1/9/2004,1611.74
1/12/2004,1599.84
1/13/2004,1617.49
1/14/2004,1620.69
1/15/2004,1588.33
1/16/2004,1598.01
1/19/2004,1613.13
1/20/2004,1622.72
1/21/2004,1649.06
1/26/2004,1656.24
1/27/2004,1658.66
1/28/2004,1621.43
1/29/2004,1604.67
1/30/2004,1617.7
2/3/2004,1611.13
2/4/2004,1603.18
2/5/2004,1595.89
2/6/2004,1614.4
4/16/2004,1611.86
4/19/2004,1603.24
4/20/2004,1609.03
4/21/2004,1605.71
4/22/2004,1622.57
4/23/2004,1628.09
4/26/2004,1609.31
4/27/2004,1613.77
4/28/2004,1612.22
4/29/2004,1580.48
4/30/2004,1607.57
5/3/2004,1607.73
5/4/2004,1631.39
5/5/2004,1645.06
5/6/2004,1640.3
5/7/2004,1618.41
5/10/2004,1577.94
5/11/2004,1591.27
5/12/2004,1588.13
5/13/2004,1565.38
5/14/2004,1538.75
5/17/2004,1490.66
5/18/2004,1509.59
5/19/2004,1551.12
5/20/2004,1532.6
5/21/2004,1558.22
5/24/2004,1566.07
5/25/2004,1553.11
5/26/2004,1560.42
5/27/2004,1562.73
5/28/2004,1566.52
5/31/2004,1570.81
8/3/2004,1672.67
8/4/2004,1667.85
8/5/2004,1690.58
8/6/2004,1673.03
8/10/2004,1652.6
8/11/2004,1643.68
8/12/2004,1647.24
8/13/2004,1634.37
8/16/2004,1640.99
8/17/2004,1644.08
8/18/2004,1657.37
8/19/2004,1671.69
8/20/2004,1658.48
8/23/2004,1665.13
8/24/2004,1671.44
8/25/2004,1679.64
8/26/2004,1681.97
8/27/2004,1680.75
8/30/2004,1671.71
8/31/2004,1684.06
9/1/2004,1696.2
9/2/2004,1705.79
9/3/2004,1702.59
9/6/2004,1701.38
9/7/2004,1723.85
9/8/2004,1721.1
9/9/2004,1723.3
9/10/2004,1727.8
9/13/2004,1747.71
9/14/2004,1755.67
9/15/2004,1765.27
9/16/2004,1751.92
9/17/2004,1758.26
9/20/2004,1744.29
9/21/2004,1757.62
9/22/2004,1752.42
9/23/2004,1746.06
9/24/2004,1737.31
9/27/2004,1746.49
9/28/2004,1740.29
9/29/2004,1731.54
4/21/2005,1884.93
4/22/2005,1886.15
4/25/2005,1891.13
4/26/2005,1901.21
4/27/2005,1897.58
4/28/2005,1897.37
4/29/2005,1882.43
5/3/2005,1895.67
5/4/2005,1905.9
5/5/2005,1915.35
5/6/2005,1931.8
5/9/2005,1935.92
5/10/2005,1935.6
5/11/2005,1943.4
5/12/2005,1953.69
5/13/2005,1942.95
5/17/2005,1927.1
5/18/2005,1924.27
5/19/2005,1941.2
5/20/2005,1948.01
5/24/2005,1952.01
5/25/2005,1936.62
5/26/2005,1927.67
5/27/2005,1930.32
6/1/2005,1944.31
6/2/2005,1957.23
6/3/2005,1957.78
6/7/2005,1969.04
6/8/2005,1963.98
6/9/2005,1966.06
6/10/2005,1986.75
6/13/2005,1986.16
6/14/2005,1967.27
6/15/2005,1981.75
6/16/2005,1982.43
6/17/2005,1988.23
6/20/2005,1979.42
6/21/2005,1979.44
6/22/2005,1991.99
6/23/2005,2007.79
6/24/2005,2006.7
6/27/2005,1991.64
6/28/2005,1987.34
6/29/2005,1992.23
6/30/2005,2006.8
7/1/2005,2001.38
7/4/2005,2012.99
7/5/2005,2013.01
7/6/2005,2021.29
7/7/2005,1998.5
7/8/2005,2003.65
7/11/2005,2029.52
7/12/2005,2023.53
7/13/2005,2025.03
7/14/2005,2035.08
7/15/2005,2034.08
7/18/2005,2030.59
7/19/2005,2073.43
7/20/2005,2087.58
7/21/2005,2089.69
7/22/2005,2099.16
7/25/2005,2089.35
7/26/2005,2099.82
7/27/2005,2108.09
7/28/2005,2117.07
7/29/2005,2124.99
8/1/2005,2144.25
8/2/2005,2153.73
8/3/2005,2140.94
8/4/2005,2139.28
8/5/2005,2125.76
8/8/2005,2134.18
8/10/2005,2127.98
8/11/2005,2099.76
8/12/2005,2098.13
8/15/2005,2080.46
8/16/2005,2105.57
8/17/2005,2079.88
8/18/2005,2084.58
8/19/2005,2090.4
8/22/2005,2106.44
8/23/2005,2098.52
8/24/2005,2087.41
8/25/2005,2093.6
8/26/2005,2097.47
8/29/2005,2083.35
8/30/2005,2079.47
8/31/2005,2081.94
9/1/2005,2094.56
9/2/2005,2103.19
9/5/2005,2094.9
9/6/2005,2088.78
9/7/2005,2095.97
9/8/2005,2097.05
9/9/2005,2097.01
9/12/2005,2121.98
9/13/2005,2108.9
9/14/2005,2110.06
9/15/2005,2111.73
9/16/2005,2102.94
9/19/2005,2091.77
9/20/2005,2100.27
9/21/2005,2093.88
9/22/2005,2086.28
9/23/2005,2087.99
9/26/2005,2109.01
9/27/2005,2095.22
9/28/2005,2088.33
9/29/2005,2085.37
9/30/2005,2089.02
10/3/2005,2086.44
10/4/2005,2105.68
10/5/2005,2106.61
10/6/2005,2074.84
10/7/2005,2086.02
10/10/2005,2122.76
10/11/2005,2133.82
10/12/2005,2099.63
10/13/2005,2100.23
10/14/2005,2083.76
10/17/2005,2070.16
10/18/2005,2066.46
10/19/2005,2005.29
10/20/2005,2016.01
10/21/2005,2029.24
10/24/2005,2014.7
10/25/2005,2017.46
10/26/2005,2021.8
10/27/2005,1993.49
10/28/2005,1986.26
10/31/2005,2011.35
11/2/2005,2046.3
11/4/2005,2055.82
11/7/2005,2046.46
11/8/2005,2059.45
11/9/2005,2057.93
11/10/2005,2045.64
11/11/2005,2057.21
11/14/2005,2046.45
11/15/2005,2032.52
11/16/2005,2047.19
11/17/2005,2054.6
11/18/2005,2083.67
11/21/2005,2074.34
11/22/2005,2067.52
11/23/2005,2082.67
11/24/2005,2091.92
11/25/2005,2082.24
11/28/2005,2095.8
11/29/2005,2091.75
11/30/2005,2091.36
12/1/2005,2102.91
12/2/2005,2125.05
12/5/2005,2123.69
12/6/2005,2098.87
12/7/2005,2104.72
12/8/2005,2102.72
12/9/2005,2117.02
12/12/2005,2122.13
12/13/2005,2116.97
12/14/2005,2114.76
12/15/2005,2116.69
12/16/2005,2118.3
12/19/2005,2120.48
12/20/2005,2124.73
12/21/2005,2128.55
12/22/2005,2121.06
12/23/2005,2124.13
12/27/2005,2132.13
12/28/2005,2134.21
12/29/2005,2144.5
12/30/2005,2147.54
1/3/2006,2169.19
1/4/2006,2181.56
1/5/2006,2197.73
1/6/2006,2211.68
1/9/2006,2215.86
1/11/2006,2207.66
1/12/2006,2198.47
1/13/2006,2196.73
1/16/2006,2192.52
1/17/2006,2173.19
1/18/2006,2156.39
1/19/2006,2175.72
1/20/2006,2185.05
1/23/2006,2162.71
1/24/2006,2168.45
1/25/2006,2184.55
1/26/2006,2194.34
1/27/2006,2211.85
2/1/2006,2227.51
2/2/2006,2235.88
2/3/2006,2227.19
2/6/2006,2233.95
2/7/2006,2236.9
2/8/2006,2219.52
2/9/2006,2223.24
2/10/2006,2213.95
2/13/2006,2218.75
2/14/2006,2233.12
2/15/2006,2217.79
2/16/2006,2229.06
2/17/2006,2223.44
2/20/2006,2222.85
2/21/2006,2237.88
2/22/2006,2224.89
2/23/2006,2233.36
2/24/2006,2252.83
2/27/2006,2273.54
2/28/2006,2277.03
3/1/2006,2283.09
3/2/2006,2276.24
3/3/2006,2290.38
3/6/2006,2309.57
3/7/2006,2286.06
3/8/2006,2296.73
3/9/2006,2298.73
3/10/2006,2295.36
3/13/2006,2305.44
3/14/2006,2302.21
3/15/2006,2296.35
3/16/2006,2299.97
3/17/2006,2297.37
3/20/2006,2314.9
3/21/2006,2294.35
3/22/2006,2289.58
3/23/2006,2291.59
3/24/2006,2294.95
3/27/2006,2303.09
3/28/2006,2311.1
3/29/2006,2318.57
3/30/2006,2315.16
3/31/2006,2325.42
4/3/2006,2342.04
4/4/2006,2326.21
4/5/2006,2340.24
4/6/2006,2338.61
4/7/2006,2350.07
4/10/2006,2342.56
4/11/2006,2351.82
4/12/2006,2346.26
4/13/2006,2346.79
4/17/2006,2353.97
4/18/2006,2360.69
4/19/2006,2388.54
4/20/2006,2386.87
4/21/2006,2404.17
4/24/2006,2393.86
4/25/2006,2385.39
4/26/2006,2394.34
4/27/2006,2399.22
4/28/2006,2415.16
5/2/2006,2439.49
5/3/2006,2466.55
5/4/2006,2452.42
5/5/2006,2446.18
5/8/2006,2473.92
5/9/2006,2446.41
5/10/2006,2456.74
5/11/2006,2438.71
5/15/2006,2359.98
5/16/2006,2340.93
5/17/2006,2378.88
5/18/2006,2338.3
5/19/2006,2327.19
5/22/2006,2256.38
5/23/2006,2268.98
5/24/2006,2272.57
5/25/2006,2241.77
5/26/2006,2284.42
5/29/2006,2281.91
5/30/2006,2288.95
5/31/2006,2230.35
6/1/2006,2226.1
6/2/2006,2253.96
6/5/2006,2242.29
6/6/2006,2231.51
6/7/2006,2201.54
6/8/2006,2152.19
