Year,Month,Date,Bid Yield
2009,12,12/1/2009,0.55
2010,1,1/1/2010,0.47
2010,2,2/1/2010,0.39
2010,3,3/1/2010,0.37
2010,4,4/1/2010,0.42
2010,5,5/1/2010,0.34
2010,6,6/1/2010,0.37
2010,7,7/1/2010,0.35
2010,8,8/1/2010,0.33
2010,9,9/1/2010,0.34
2010,10,10/1/2010,0.41
2010,11,11/1/2010,0.4
2010,12,12/1/2010,0.42
2011,1,1/1/2011,0.4
2011,2,2/1/2011,0.4
2011,3,3/1/2011,0.35
2011,4,4/1/2011,0.44
2011,5,5/1/2011,0.42
2011,6,6/1/2011,0.41
2011,7,7/1/2011,0.28
2011,8,8/1/2011,0.18
2011,9,9/1/2011,0.21
2011,10,10/1/2011,0.29
2011,11,11/1/2011,0.31
2011,12,12/1/2011,0.37
2012,1,1/1/2012,0.34
2012,2,2/1/2012,0.34
2012,3,3/1/2012,0.32
2012,4,4/1/2012,0.26
2012,5,5/1/2012,0.28
2012,6,6/1/2012,0.27
2012,7,7/1/2012,0.23
2012,8,8/1/2012,0.25
2012,9,9/1/2012,0.3
2012,10,10/1/2012,0.28
2012,11,11/1/2012,0.27
2012,12,12/1/2012,0.27
2013,1,1/1/2013,0.27
2013,2,2/1/2013,0.26
2013,3,3/1/2013,0.27
2013,4,4/1/2013,0.26
2013,5,5/1/2013,0.27
2013,6,6/1/2013,0.29
2013,7,7/1/2013,0.28
2013,8,8/1/2013,0.28
2013,9,9/1/2013,0.29
2013,10,10/1/2013,0.28
2013,11,11/1/2013,0.28
2013,12,12/1/2013,0.3
2014,1,1/1/2014,0.34
2014,2,2/1/2014,0.31
2014,3,3/1/2014,0.34
2014,4,4/1/2014,0.35
2014,5,5/1/2014,0.34
2014,6,6/1/2014,0.34
2014,7,7/1/2014,0.34
2014,8,8/1/2014,0.34
2014,9,9/1/2014,0.35
2014,10,10/1/2014,0.38
2014,11,11/1/2014,0.41
2014,12,12/1/2014,0.72
2015,1,1/1/2015,0.73
2015,2,2/1/2015,0.82
2015,3,3/1/2015,1.06
2015,4,4/1/2015,1
2015,5,5/1/2015,0.97
2015,6,6/1/2015,0.96
2015,7,7/1/2015,0.94
2015,8,8/1/2015,0.99
2015,9,9/1/2015,1.34
2015,10,10/1/2015,1.29
2015,11,11/1/2015,1.13
2015,12,12/1/2015,1.01
2016,1,1/1/2016,1.09
2016,2,2/1/2016,1.05
2016,3,3/1/2016,0.95
2016,4,4/1/2016,0.99
2016,5,5/1/2016,0.91
2016,6,6/1/2016,0.88
2016,7,7/1/2016,0.88
2016,8,8/1/2016,0.8
2016,9,9/1/2016,0.79
2016,10,10/1/2016,0.93
2016,11,11/1/2016,0.92
2016,12,12/1/2016,1.13
2017,1,1/1/2017,1.05
2017,2,2/1/2017,1
2017,3,3/1/2017,1.02
2017,4,4/1/2017,1.04
2017,5,5/1/2017,1.04
2017,6,6/1/2017,1.07
2017,7,7/1/2017,1.17
